humidity,temperature,distance,sound_pressure_level
66,2,1000,74.880
66,2,1500,70.201
66,2,2000,66.745
66,2,2500,63.964
67,2,500,82.596
67,2,1000,74.902
67,2,1500,70.227
67,2,2000,66.773
67,2,2500,63.993
68,2,500,82.609
68,2,1000,74.924
68,2,1500,70.252
68,2,2000,66.800
68,2,2500,64.021
69,2,500,82.622
69,2,1000,74.945
69,2,1500,70.276
69,2,2000,66.826
69,2,2500,64.048
70,2,500,82.634
70,2,1000,74.965
70,2,1500,70.299
70,2,2000,66.851
70,2,2500,64.074
71,2,500,82.646
71,2,1000,74.985
71,2,1500,70.322
71,2,2000,66.875
71,2,2500,64.099
72,2,500,82.658
72,2,1000,75.004
72,2,1500,70.343
72,2,2000,66.899
72,2,2500,64.123
73,2,500,82.669
73,2,1000,75.022
73,2,1500,70.364
73,2,2000,66.922
73,2,2500,64.147
74,2,500,82.680
74,2,1000,75.040
74,2,1500,70.385
74,2,2000,66.943
74,2,2500,64.170
75,2,500,82.691
75,2,1000,75.058
75,2,1500,70.405
75,2,2000,66.964
75,2,2500,64.191
76,2,500,82.702
76,2,1000,75.075
76,2,1500,70.424
76,2,2000,66.985
76,2,2500,64.213
77,2,500,82.712
77,2,1000,75.091
77,2,1500,70.442
77,2,2000,67.005
77,2,2500,64.233
78,2,500,82.722
78,2,1000,75.107
78,2,1500,70.460
78,2,2000,67.024
78,2,2500,64.253
79,2,500,82.731
79,2,1000,75.123
79,2,1500,70.478
79,2,2000,67.042
79,2,2500,64.272
80,2,500,82.741
80,2,1000,75.138
80,2,1500,70.495
80,2,2000,67.060
80,2,2500,64.290
81,2,500,82.750
81,2,1000,75.153
81,2,1500,70.511
81,2,2000,67.077
81,2,2500,64.308
82,2,500,82.759
82,2,1000,75.167
82,2,1500,70.527
82,2,2000,67.094
82,2,2500,64.325
83,2,500,82.768
83,2,1000,75.181
83,2,1500,70.543
83,2,2000,67.110
83,2,2500,64.342
84,2,500,82.776
84,2,1000,75.195
84,2,1500,70.558
84,2,2000,67.126
84,2,2500,64.358
85,2,500,82.785
85,2,1000,75.208
85,2,1500,70.573
85,2,2000,67.141
85,2,2500,64.373
86,2,500,82.793
86,2,1000,75.221
86,2,1500,70.587
86,2,2000,67.156
86,2,2500,64.388
87,2,500,82.801
87,2,1000,75.234
87,2,1500,70.601
87,2,2000,67.170
87,2,2500,64.403
88,2,500,82.809
88,2,1000,75.246
88,2,1500,70.614
88,2,2000,67.184
88,2,2500,64.417
89,2,500,82.816
89,2,1000,75.258
89,2,1500,70.627
89,2,2000,67.198
89,2,2500,64.430
20,3,500,81.144
20,3,1000,72.062
20,3,1500,66.759
20,3,2000,62.907
20,3,2500,59.851
21,3,500,81.204
21,3,1000,72.222
21,3,1500,66.963
21,3,2000,63.141
21,3,2500,60.103
22,3,500,81.264
22,3,1000,72.372
22,3,1500,67.154
22,3,2000,63.359
22,3,2500,60.339
23,3,500,81.324
23,3,1000,72.514
23,3,1500,67.331
23,3,2000,63.563
23,3,2500,60.560
24,3,500,81.383
24,3,1000,72.648
24,3,1500,67.498
24,3,2000,63.752
24,3,2500,60.766
25,3,500,81.440
25,3,1000,72.775
25,3,1500,67.654
25,3,2000,63.929
25,3,2500,60.959
26,3,500,81.497
26,3,1000,72.894
26,3,1500,67.800
26,3,2000,64.095
26,3,2500,61.140
27,3,500,81.551
27,3,1000,73.007
27,3,1500,67.938
27,3,2000,64.250
27,3,2500,61.309
28,3,500,81.603
28,3,1000,73.114
28,3,1500,68.067
28,3,2000,64.395
28,3,2500,61.467
29,3,500,81.654
29,3,1000,73.215
29,3,1500,68.190
29,3,2000,64.531
29,3,2500,61.615
30,3,500,81.702
30,3,1000,73.310
30,3,1500,68.305
30,3,2000,64.660
30,3,2500,61.755
31,3,500,81.749
31,3,1000,73.401
31,3,1500,68.415
31,3,2000,64.781
31,3,2500,61.886
32,3,500,81.794
32,3,1000,73.487
32,3,1500,68.519
32,3,2000,64.895
32,3,2500,62.009
33,3,500,81.837
33,3,1000,73.568
33,3,1500,68.617
33,3,2000,65.004
33,3,2500,62.125
34,3,500,81.878
34,3,1000,73.646
34,3,1500,68.711
34,3,2000,65.106
34,3,2500,62.235
35,3,500,81.918
35,3,1000,73.719
35,3,1500,68.800
35,3,2000,65.204
35,3,2500,62.339
36,3,500,81.956
36,3,1000,73.789
36,3,1500,68.884
36,3,2000,65.296
36,3,2500,62.437
37,3,500,81.993
37,3,1000,73.855
37,3,1500,68.965
37,3,2000,65.384
37,3,2500,62.531
38,3,500,82.028
38,3,1000,73.919
38,3,1500,69.042
38,3,2000,65.468
38,3,2500,62.619
39,3,500,82.062
39,3,1000,73.979
39,3,1500,69.115
39,3,2000,65.548
39,3,2500,62.703
40,3,500,82.094
40,3,1000,74.037
40,3,1500,69.185
40,3,2000,65.624
